Shimmer_B640_Timestamp_FormattedUnix_CAL,Shimmer_B640_PPG_A13_CAL
yyyy/mm/dd hh:mm:ss.000,mV
51:15.3,1180.952381
51:15.3,1175.824176
51:15.3,1171.428571
51:15.3,1168.498168
51:15.3,1169.230769
51:15.3,1171.428571
51:15.3,1172.161172
51:15.3,1172.161172
51:15.3,1170.695971
51:15.4,1167.032967
51:15.4,1167.032967
51:15.4,1164.835165
51:15.4,1162.637363
51:15.4,1159.70696
51:15.4,1156.776557
51:15.4,1155.311355
51:15.4,1153.846154
51:15.4,1153.846154
51:15.4,1153.846154
51:15.4,1154.578755
51:15.4,1155.311355
51:15.4,1156.043956
51:15.5,1158.241758
51:15.5,1158.974359
51:15.5,1158.974359
51:15.5,1159.70696
51:15.5,1158.974359
51:15.5,1159.70696
51:15.5,1159.70696
51:15.5,1158.241758
51:15.5,1156.776557
51:15.5,1153.113553
51:15.5,1150.915751
51:15.5,1151.648352
51:15.5,1153.113553
51:15.6,1158.241758
51:15.6,1168.498168
51:15.6,1181.684982
51:15.6,1198.534799
51:15.6,1221.245421
51:15.6,1250.549451
51:15.6,1287.912088
51:15.6,1334.065934
51:15.6,1389.74359
51:15.6,1451.282051
51:15.6,1517.216117
51:15.6,1583.882784
51:15.6,1652.014652
51:15.7,1718.681319
51:15.7,1781.684982
51:15.7,1834.432234
51:15.7,1879.85348
51:15.7,1910.622711
51:15.7,1933.333333
51:15.7,1945.054945
51:15.7,1950.18315
51:15.7,1949.450549
51:15.7,1941.391941
51:15.7,1931.135531
51:15.7,1917.216117
51:15.8,1898.901099
51:15.8,1878.388278
51:15.8,1856.410256
51:15.8,1830.769231
51:15.8,1801.465201
51:15.8,1771.428571
51:15.8,1742.124542
51:15.8,1714.285714
51:15.8,1687.912088
51:15.8,1665.934066
51:15.8,1649.084249
51:15.8,1632.967033
51:15.8,1620.512821
51:15.9,1611.721612
51:15.9,1606.593407
51:15.9,1602.930403
51:15.9,1599.267399
51:15.9,1594.139194
51:15.9,1591.941392
51:15.9,1587.545788
51:15.9,1583.882784
51:15.9,1575.824176
51:15.9,1563.369963
51:15.9,1550.18315
51:15.9,1535.531136
51:15.9,1520.14652
51:16.0,1503.296703
51:16.0,1484.981685
51:16.0,1464.468864
51:16.0,1444.688645
51:16.0,1421.978022
51:16.0,1400
51:16.0,1381.684982
51:16.0,1364.102564
51:16.0,1345.787546
51:16.0,1327.472527
51:16.0,1310.622711
51:16.0,1295.238095
51:16.0,1283.516484
51:16.1,1274.725275
51:16.1,1267.399267
51:16.1,1261.538462
51:16.1,1256.410256
51:16.1,1251.282051
51:16.1,1246.153846
51:16.1,1241.758242
51:16.1,1238.827839
51:16.1,1235.897436
51:16.1,1235.164835
51:16.1,1238.095238
51:16.1,1241.758242
51:16.1,1245.421245
51:16.2,1250.549451
51:16.2,1253.479853
51:16.2,1252.747253
51:16.2,1250.549451
51:16.2,1246.153846
51:16.2,1241.758242
51:16.2,1238.095238
51:16.2,1233.699634
51:16.2,1232.234432
51:16.2,1227.838828
51:16.2,1225.641026
51:16.2,1224.175824
